,Article,Authors,Ref. and Year,PMID,Description
0,Comparison of dietary and physical activity behaviors in women with and without polycystic ovary syndrome: a systematic review and meta-analysis of 39 471 women.,"Kazemi M, Kim JY, Wan C, Xiong JD, Michalak J, Xavier IB, Ganga K, Tay CT, Grieger JA, Parry SA, Moran LJ, Lujan ME.",Hum Reprod Update. 2022.,35639552,BACKGROUND: Lifestyle (dietary and/or physical activity [PA]) modification is recommended as first-line therapy to manage polycystic ovary syndrome (PCOS). Current recommendations are based on healthy lifestyle practices for the general public since evidence …
1,Effect of yoga on polycystic ovarian syndrome: A systematic review.,"Thakur D, Saurabh Singh DS, Tripathi DM, Lufang D.",J Bodyw Mov Ther. 2021.,34391246,"Polycystic Ovarian Syndrome (PCOS) is not a disease but a mere syndrome. Many researchers have studied polycystic ovarian syndrome and found that there is no proper cause of that, it may occur due to hormonal imbalance or stress, or due to a sedentary lifestyle …"
2,Effect of integrated approach of yoga and naturopathy on polycystic ovarian syndrome: A case study.,"Shrivastava R, Mishra S, Singh R, Shrivastava P.",J Family Med Prim Care. 2022.,35516692,"Owing to stress, sedentary lifestyle and changes in diet pattern, there is an increase in the surge of lifestyle and metabolic disorders. Polycystic ovarian syndrome (PCOS) affects 8-13% of reproductive-aged women. PCOS is characterised by menst …"
3,Exercise training and reproductive outcomes in women with polycystic ovary syndrome: A pilot randomized controlled trial.,"Benham JL, Booth JE, Corenblum B, Doucette S, Friedenreich CM, Rabi DM, Sigal RJ.",Clin Endocrinol (Oxf). 2021.,33638879,"OBJECTIVE: Exercise is recommended for polycystic ovary syndrome (PCOS), but the most effective exercise prescription is unclear. This trial compared effects of high-intensity interval training (HIIT), continuous aerobic exercise training (CAET) and no-exercise control on …"
4,Dietary and lifestyle-related factors behind delayed conception in females.,"Rizvi MK, Rabail R, Munir S, Rizvi MW, Abdi G, Aadil RM.",Food Sci Nutr. 2024.,39554321,"Smoking, physical activity, age, polycystic ovary syndrome (PCOS), obesity, and depression have all been considered lifestyle and clinical factors. If women have a sedentary lifestyle, too much exercise or obesity both contribute to infertility. In cli …"
5,Pathophysiological Effects of Contemporary Lifestyle on Evolutionary-Conserved Survival Mechanisms in Polycystic Ovary Syndrome.,Parker J.,Life (Basel). 2023.,37109585,"The resulting pathophysiological changes represent the consequences of poor-quality diet, sedentary behaviour, endocrine disrupting chemicals, stress, circadian disruption, and other lifestyle factors. Emerging evidence suggests that lifestyle-induced gastroi …"
6,The Effect of Tailored Short Message Service (SMS) on Physical Activity: Results from a Three-Component Randomized Controlled Lifestyle Intervention in Women with PCOS.,"Dietz de Loos A, Jiskoot G, van den Berg-Emons R, Louwers Y, Beerthuizen A, van Busschbach J, Laven J.",J Clin Med. 2023.,37048550,"This analysis of secondary outcome measures of a randomized controlled trial was conducted to study the effect of a one-year three-component (cognitive behavioural therapy, diet, exercise) lifestyle intervention (LSI), with or without additional Short Message Service (SMS) …"
7,Weight gain and lifestyle factors in women with and without polycystic ovary syndrome.,"Awoke MA, Earnest A, Joham AE, Hodge AM, Teede HJ, Brown WJ, Moran LJ.",Hum Reprod. 2021.,34788426,"WIDER IMPLICATIONS OF THE FINDINGS: While women with PCOS are more prone to weight gain, lifestyle factors have a more profound impact on weight gain in women with PCOS than without PCOS. These study findings have implications for understanding the mec …"
8,Sleep disturbances may influence lifestyle behaviours in women with self-reported polycystic ovary syndrome.,"Bennett CJ, Mansfield DR, Mo L, Joham AE, Cain SW, Blumfield ML, Hodge AM, Moran LJ.",Br J Nutr. 2021.,34176543,"Polycystic ovary syndrome (PCOS) is associated with a higher prevalence of sleep disturbances and obesity. Treatment of PCOS includes modifying lifestyle behaviours associated with weight management. However, poor sleep in the non-PCOS population has b …"
9,MANAGEMENT OF ENDOCRINE DISEASE: Morbidity in polycystic ovary syndrome.,"Glintborg D, Andersen M.",Eur J Endocrinol. 2017.,27601016,"Available data from register-based and data linkage studies support that metabolic-vascular and thyroid diseases, asthma, migraine, depression and cancer are diagnosed more frequently in PCOS, whereas fracture risk is decreased. Drug prescriptions are significantly more co …"
